,state,min,max
2018-09-04 15:56:50.124750,58.0,40.0,70.0
2018-09-04 15:56:51.080846,58.0,40.0,70.0
2018-09-04 15:56:52.124950,58.0,40.0,70.0
2018-09-04 15:56:53.176055,58.0,40.0,70.0
2018-09-04 15:56:54.225160,58.0,40.0,70.0
2018-09-04 15:56:59.022640,58.0,40.0,70.0
2018-09-04 15:58:48.728610,58.0,40.0,70.0
2018-09-04 15:58:49.679705,58.0,40.0,70.0
2018-09-04 15:58:52.680005,58.0,40.0,70.0
2018-09-04 15:58:54.686205,58.0,40.0,70.0
2018-09-04 15:58:56.680405,58.0,40.0,70.0
2018-09-04 15:59:00.742811,58.0,40.0,70.0
2018-09-04 15:59:04.731210,58.0,40.0,70.0
2018-09-04 15:59:08.731610,58.0,40.0,70.0
2018-09-04 15:59:12.792016,58.0,40.0,70.0
2018-09-04 15:59:16.782415,58.0,40.0,70.0
2018-09-04 15:59:20.780814,58.0,40.0,70.0
2018-09-04 15:59:24.781214,58.0,40.0,70.0
2018-09-04 15:59:28.781614,58.0,40.0,70.0
2018-09-04 15:59:30.832820,58.0,40.0,70.0
2018-09-04 15:59:33.832119,58.0,40.0,70.0
2018-09-04 15:59:37.832519,58.0,40.0,70.0
2018-09-04 15:59:41.832919,58.0,40.0,70.0
2018-09-04 15:59:44.833219,58.0,40.0,70.0
2018-09-04 15:59:47.833519,58.0,40.0,70.0
2018-09-04 15:59:51.833919,58.0,40.0,70.0
2018-09-04 15:59:54.933229,58.0,40.0,70.0
2018-09-04 15:59:55.558292,58.0,40.0,70.0
2018-09-04 15:59:57.442480,58.0,40.0,70.0
2018-09-04 16:02:17.389474,58.0,40.0,70.0
2018-09-04 16:02:18.439579,58.0,40.0,70.0
2018-09-04 16:02:19.439679,58.0,40.0,70.0
2018-09-04 16:02:20.438778,58.0,40.0,70.0
2018-09-04 16:02:21.439879,58.0,40.0,70.0
2018-09-04 16:02:22.489984,58.0,40.0,70.0
2018-09-04 16:02:23.490084,58.0,40.0,70.0
2018-09-04 16:02:24.535188,58.0,40.0,70.0
2018-09-04 16:02:25.490284,58.0,40.0,70.0
2018-09-04 16:02:26.490384,58.0,40.0,70.0
2018-09-04 16:02:30.890824,58.0,40.0,70.0
2018-09-04 16:02:31.937928,58.0,40.0,70.0
2018-09-04 16:02:32.838018,58.0,40.0,70.0
2018-09-04 16:02:33.749109,58.0,40.0,70.0
2018-09-04 16:02:34.740208,58.0,40.0,70.0
2018-09-04 16:02:35.740308,58.0,40.0,70.0
2018-09-04 16:02:36.739408,58.0,40.0,70.0
2018-09-04 16:02:37.740508,58.0,40.0,70.0
2018-09-04 16:02:38.743609,58.0,40.0,70.0
2018-09-04 16:02:39.790713,58.0,40.0,70.0
2018-09-04 16:02:44.090143,58.0,40.0,70.0
2018-09-04 16:02:45.090243,58.0,40.0,70.0
2018-09-04 16:02:46.100344,58.0,40.0,70.0
2018-09-04 16:02:47.141448,58.0,40.0,70.0
2018-09-04 16:02:48.140548,58.0,40.0,70.0
2018-09-04 16:02:49.039638,58.0,40.0,70.0
2018-09-04 16:02:49.939728,58.0,40.0,70.0
2018-09-04 16:02:50.890823,58.0,40.0,70.0
2018-09-04 16:02:51.840918,58.0,40.0,70.0
2018-09-04 16:02:52.841018,58.0,40.0,70.0
2018-09-04 16:02:57.140448,58.0,40.0,70.0
2018-09-04 16:02:58.150549,58.0,40.0,70.0
2018-09-04 16:02:59.047639,58.0,40.0,70.0
2018-09-04 16:03:00.051739,58.0,40.0,70.0
2018-09-04 16:03:01.091843,58.0,40.0,70.0
2018-09-04 16:03:01.990933,58.0,40.0,70.0
2018-09-04 16:03:02.891023,58.0,40.0,70.0
2018-09-04 16:03:03.891123,58.0,40.0,70.0
2018-09-04 16:03:04.890223,58.0,40.0,70.0
2018-09-04 16:03:05.941328,58.0,40.0,70.0
2018-09-04 16:03:10.337768,58.0,40.0,70.0
2018-09-04 16:03:11.340868,58.0,40.0,70.0
2018-09-04 16:03:12.240958,58.0,40.0,70.0
2018-09-04 16:03:13.241058,58.0,40.0,70.0
2018-09-04 16:03:14.241158,58.0,40.0,70.0
2018-09-04 16:03:15.291263,58.0,40.0,70.0
2018-09-04 16:03:16.292363,58.0,40.0,70.0
2018-09-04 16:03:17.341468,58.0,40.0,70.0
2018-09-04 16:03:18.341568,58.0,40.0,70.0
2018-09-04 16:03:19.342668,58.0,40.0,70.0
2018-09-04 16:03:23.642098,58.0,40.0,70.0
2018-09-04 16:03:24.641198,58.0,40.0,70.0
2018-09-04 16:03:25.640298,58.0,40.0,70.0
2018-09-04 16:03:26.591393,58.0,40.0,70.0
2018-09-04 16:03:27.591493,58.0,40.0,70.0
2018-09-04 16:03:28.642598,58.0,40.0,70.0
2018-09-04 16:03:29.642698,58.0,40.0,70.0
2018-09-04 16:03:30.691803,58.0,40.0,70.0
2018-09-04 16:03:31.692903,58.0,40.0,70.0
2018-09-04 16:03:32.692003,58.0,40.0,70.0
2018-09-04 16:03:36.993433,58.0,40.0,70.0
2018-09-04 16:03:37.992533,58.0,40.0,70.0
2018-09-04 16:03:38.943628,58.0,40.0,70.0
2018-09-04 16:03:39.941728,58.0,40.0,70.0
2018-09-04 16:03:40.941828,58.0,40.0,70.0
2018-09-04 16:03:41.941928,58.0,40.0,70.0
2018-09-04 16:03:42.842018,58.0,40.0,70.0
2018-09-04 16:03:43.743108,58.0,40.0,70.0
2018-09-04 16:03:44.693203,58.0,40.0,70.0
2018-09-04 16:03:45.592293,58.0,40.0,70.0
2018-09-04 16:03:49.943728,58.0,40.0,70.0
2018-09-04 16:03:50.943828,58.0,40.0,70.0
2018-09-04 16:03:51.989933,58.0,40.0,70.0
2018-09-04 16:03:52.943028,58.0,40.0,70.0
2018-09-04 16:03:53.944128,58.0,40.0,70.0
2018-09-04 16:03:54.943228,58.0,40.0,70.0
2018-09-04 16:03:55.943328,58.0,40.0,70.0
2018-09-04 16:03:56.943428,58.0,40.0,70.0
2018-09-04 16:03:57.992533,58.0,40.0,70.0
2018-09-04 16:03:58.951629,58.0,40.0,70.0
2018-09-04 16:04:03.243058,58.0,40.0,70.0
2018-09-04 16:04:04.243158,58.0,40.0,70.0
2018-09-04 16:04:05.293263,58.0,40.0,70.0
